trade_id,stock_symbol,quantity,purchase_price,sale_price,purchase_date,sale_date,profit,transaction_type,broker_name
1,STRT,3923,238.64,22.34,3/3/2003,7/6/2005,-216.3,Buy,Snaptags
2,PSCD,3626,404.09,135.39,8/19/2010,6/19/2016,-268.7,Buy,Buzzdog
3,GSOL,4772,132.33,352.08,3/9/2012,11/24/2017,219.75,Buy,Kwilith
4,BANFP,3815,296.47,15.7,2/1/2004,1/16/2003,-280.77,Sell,Wordpedia
5,ZAGG,2302,978.37,304.99,11/10/2005,12/12/2003,-673.38,Buy,Skiptube
6,SNDR,8057,280.06,817.27,5/26/2002,12/6/2021,537.21,Sell,Oyonder
7,TAL,2516,922.27,366.72,10/11/2015,7/25/2012,-555.55,Buy,Centizu
8,RYAM,866,545.34,85.13,7/24/2022,1/13/2004,-460.21,Sell,Trudeo
9,MIME,8319,696.45,129.37,10/9/2001,3/21/2021,-567.08,Buy,Mynte
10,REV,8677,333.76,880.43,4/11/2009,8/17/2015,546.67,Buy,Wikizz
11,KKR^B,6943,659.36,755.14,7/10/2007,12/15/2017,95.78,Sell,Buzzbean
12,PFD,459,737.95,698.03,7/4/2021,1/3/2010,-39.92,Sell,Chatterbridge
13,GDO,7452,851.32,129.14,10/24/2011,4/30/2014,-722.18,Buy,Flipopia
14,NSC,7100,588.7,897.61,8/6/2013,1/27/2020,308.91,Sell,Bubbletube
15,ABUS,6361,417.44,665.16,12/15/2022,12/15/2017,247.72,Buy,Gevee
16,ULBI,533,943.12,215.19,12/8/2013,12/4/2013,-727.93,Buy,Topicstorm
17,NYV,7610,106.06,408.47,4/11/2018,8/3/2009,302.41,Sell,Chatterbridge
18,SU,5376,532.5,67.7,3/5/2020,3/7/2003,-464.8,Buy,Devpulse
19,TSBK,507,878.44,447.73,12/25/2007,11/13/2003,-430.71,Sell,Skilith
20,PPIH,8556,837.54,764.0,9/22/2012,10/8/2021,-73.54,Buy,Tagtune
21,UIS,7256,105.51,573.63,9/2/2022,3/9/2005,468.12,Sell,Fivespan
22,QEP,2421,395.55,206.69,8/29/2020,5/23/2022,-188.86,Buy,Yodoo
23,ETJ,9250,410.78,371.32,7/9/2012,9/16/2008,-39.46,Buy,Divanoodle
24,DZSI,442,38.55,438.25,12/6/2012,5/25/2002,399.7,Buy,Abatz
25,TMUSP,3624,840.89,587.24,4/7/2009,8/1/2016,-253.65,Buy,Dynabox
26,ROBO,9820,285.7,610.61,8/11/2006,12/12/2018,324.91,Buy,Shuffledrive
27,LALT,5738,56.41,109.88,1/23/2008,10/20/2015,53.47,Buy,Bubbletube
28,MRDN,8839,651.88,755.47,11/10/2008,9/2/2001,103.59,Buy,Twitterlist
29,AKO.A,877,4.52,597.04,10/27/2003,5/22/2019,592.52,Buy,Yabox
30,CTV,7150,520.14,683.73,5/17/2022,11/8/2010,163.59,Buy,Oyoba
31,MDT,9884,469.28,905.32,3/27/2011,3/8/2009,436.04,Buy,Jazzy
32,OPXA,7869,924.39,392.38,3/1/2019,4/10/2011,-532.01,Sell,Mudo
33,PLOW,8549,163.43,450.35,1/15/2017,12/15/2004,286.92,Buy,Vinder
34,INBKL,878,951.94,248.72,4/20/2007,9/20/2009,-703.22,Sell,Topicshots
35,ACAD,6618,935.01,771.64,11/20/2012,4/23/2009,-163.37,Buy,Ntags
36,HESM,327,894.97,309.77,6/8/2012,2/6/2007,-585.2,Buy,Wordpedia
37,SEP,5262,468.94,744.8,1/28/2016,6/29/2006,275.86,Buy,Ntags
38,MUR,5117,251.28,33.72,9/23/2005,1/16/2022,-217.56,Sell,Topdrive
39,CSF,6641,984.48,428.61,5/8/2008,7/29/2021,-555.87,Buy,Buzzster
40,ISF,4768,828.76,205.33,8/12/2019,2/1/2007,-623.43,Buy,Cogidoo
41,SAMG,185,258.44,328.91,7/10/2006,2/26/2007,70.47,Sell,Zoomcast
42,MILN,213,785.0,325.88,5/14/2021,5/4/2022,-459.12,Buy,Thoughtworks
43,IGR,6801,319.68,13.25,1/10/2000,12/14/2022,-306.43,Sell,Devbug
44,GSM,9775,932.48,433.41,6/11/2016,3/24/2000,-499.07,Sell,Photofeed
45,RFI,3300,149.67,981.32,2/20/2012,8/7/2020,831.65,Sell,Snaptags
46,SUPN,7695,42.89,740.49,5/26/2003,1/17/2012,697.6,Sell,Devpulse
47,FIX,2491,581.4,894.2,2/27/2022,11/17/2014,312.8,Buy,Skippad
48,HALO,6597,63.17,731.93,10/16/2016,12/11/2014,668.76,Buy,Topicshots
49,COR^A,8099,843.83,627.12,7/25/2007,3/30/2003,-216.71,Buy,Eire
50,WSR,3267,315.49,741.86,1/15/2016,3/12/2008,426.37,Buy,Quaxo
51,MSA,5424,848.93,402.93,9/24/2001,5/28/2007,-446.0,Sell,Rhycero
52,ABC,7978,961.58,392.1,8/22/2002,5/28/2012,-569.48,Sell,Avamba
53,LEJU,31,393.67,634.42,10/23/2020,4/9/2014,240.75,Sell,Youtags
54,CMCM,7119,828.58,256.81,4/18/2020,12/17/2005,-571.77,Sell,Eabox
55,BKN,773,170.4,688.08,10/31/2003,4/26/2021,517.68,Buy,Devpoint
56,WMGIZ,207,387.24,860.01,12/6/2017,2/16/2019,472.77,Sell,Kwinu
57,STT^G,2114,304.65,870.33,10/4/2021,9/13/2017,565.68,Buy,Babblestorm
58,UBNK,5064,323.02,405.26,12/16/2014,6/22/2015,82.24,Sell,Aivee
59,WUBA,6932,508.05,72.61,5/18/2012,2/19/2006,-435.44,Buy,Shufflebeat
60,EIG,4155,923.19,161.11,11/4/2017,1/21/2009,-762.08,Sell,Tagfeed
61,BBY,1204,756.48,910.08,9/27/2022,8/20/2021,153.6,Buy,Aivee
62,NP,9249,450.8,588.86,2/13/2001,2/3/2021,138.06,Buy,Abatz
63,PSCT,1531,648.01,453.62,12/22/2003,12/20/2016,-194.39,Buy,Devshare
64,AVD,2419,779.53,764.4,8/24/2016,9/20/2004,-15.13,Buy,Podcat
65,ABY,8408,796.9,467.71,8/26/2020,6/5/2016,-329.19,Sell,Skyndu
66,DS,4439,873.86,543.53,12/18/2017,2/2/2006,-330.33,Buy,Skidoo
67,CBL^D,3848,789.29,970.19,1/13/2022,4/12/2008,180.9,Buy,LiveZ
68,GSHT,5853,291.14,538.67,5/21/2011,11/10/2015,247.53,Buy,Fadeo
69,SSW^H,8894,115.33,501.78,3/14/2019,2/20/2004,386.45,Sell,Cogibox
70,RFIL,7121,853.94,813.54,8/14/2021,1/2/2022,-40.4,Buy,Fadeo
71,ZIONW,5223,618.72,996.09,8/31/2019,6/2/2004,377.37,Sell,Oyonder
72,I,7283,227.54,649.52,1/27/2017,2/19/2008,421.98,Buy,Topicware
73,NIHD,5165,275.58,101.49,11/12/2022,7/6/2005,-174.09,Buy,Gigashots
74,BGY,5450,610.12,360.97,2/10/2000,7/30/2021,-249.15,Sell,Skaboo
75,AGEN,8149,293.69,804.3,5/9/2008,4/27/2016,510.61,Sell,Realmix
76,QURE,9795,613.01,101.0,2/2/2005,12/28/2017,-512.01,Buy,Shuffletag
77,CYRXW,6555,373.35,559.23,3/6/2021,9/6/2012,185.88,Sell,Meeveo
78,SONA,2563,857.97,811.01,6/10/2011,8/19/2022,-46.96,Buy,Meejo
79,SIGI,659,270.61,821.37,4/15/2002,11/27/2015,550.76,Buy,Buzzbean
80,STLRU,8186,205.54,741.27,6/29/2006,2/26/2007,535.73,Buy,Ntags
81,CATB,6597,827.27,96.2,11/21/2005,11/11/2005,-731.07,Sell,Bubbletube
82,BTO,6319,564.34,884.75,7/26/2016,7/30/2003,320.41,Buy,Skyba
83,GPS,6533,171.84,59.38,2/1/2017,5/12/2003,-112.46,Buy,Oba
84,LFVN,2436,515.33,84.38,1/27/2001,6/10/2006,-430.95,Buy,Flashspan
85,JASO,6446,418.92,626.41,11/27/2009,5/7/2016,207.49,Sell,Dabtype
86,CBAY,5163,978.38,45.03,5/29/2022,8/30/2022,-933.35,Buy,Tagtune
87,OKTA,7279,292.7,966.29,2/22/2010,6/25/2003,673.59,Sell,InnoZ
88,NKX,1143,175.29,43.66,7/22/2006,1/26/2014,-131.63,Sell,Oodoo
89,KMPR,4634,458.75,72.77,11/10/2019,11/9/2022,-385.98,Sell,Oloo
90,PHX,3240,565.27,79.73,8/29/2013,9/28/2013,-485.54,Buy,Skipfire
91,MYGN,2748,771.01,534.66,6/8/2008,6/20/2022,-236.35,Buy,Aimbo
92,FNV,7906,476.55,687.29,10/21/2021,1/13/2011,210.74,Buy,Thoughtbridge
93,GNUS,6980,241.1,415.81,11/6/2017,7/15/2001,174.71,Buy,Twinder
94,CARA,2988,971.03,417.84,10/2/2008,5/25/2019,-553.19,Buy,Jabberstorm
95,TRMK,83,15.94,792.23,1/23/2006,11/8/2018,776.29,Sell,Quinu
96,DHR,6374,31.6,51.59,7/11/2015,12/4/2000,19.99,Sell,Linkbuzz
97,BOX,4793,528.31,601.61,9/25/2013,2/1/2004,73.3,Buy,Thoughtbeat
98,TLI,7644,202.75,873.96,10/14/2020,9/2/2000,671.21,Buy,Kazio
99,PBA,360,416.31,590.54,4/24/2000,11/1/2008,174.23,Buy,Trupe
100,AVAL,4538,154.42,429.28,8/18/2017,5/31/2022,274.86,Sell,Browsecat
101,BKK,8436,153.84,229.41,8/2/2017,9/19/2001,75.57,Sell,Photospace
102,WBS^E,735,991.45,159.63,10/16/2004,11/15/2001,-831.82,Sell,Lajo
103,HUBS,9392,278.3,317.64,3/4/2004,1/15/2007,39.34,Sell,Skynoodle
104,KMM,4991,695.62,73.05,2/23/2012,2/21/2006,-622.57,Sell,Tazz
105,CVCO,9349,86.1,763.36,1/28/2016,11/25/2004,677.26,Sell,Browsecat
106,GFNCP,9916,211.28,101.08,5/6/2016,8/29/2006,-110.2,Buy,Aimbo
107,CBX,4687,759.7,550.65,4/24/2022,10/28/2000,-209.05,Sell,Avavee
108,KMB,1513,826.18,219.32,9/9/2002,5/14/2018,-606.86,Buy,Youopia
109,TPIV,6809,264.83,985.01,6/28/2017,12/7/2013,720.18,Buy,JumpXS
110,FPAY,3735,888.88,71.21,7/17/2016,7/2/2015,-817.67,Buy,Photobug
111,AEUA,8863,855.2,860.18,6/10/2015,12/20/2020,4.98,Buy,Skalith
112,CBLI,125,621.28,81.56,5/15/2016,8/15/2002,-539.72,Sell,Twimm
113,RICK,2372,752.62,766.19,2/26/2014,2/25/2012,13.57,Sell,Eimbee
114,PES,7704,118.33,819.8,11/5/2014,10/30/2003,701.47,Sell,Plambee
115,PGNX,7137,18.84,706.75,7/20/2009,5/10/2003,687.91,Sell,Browsecat
116,JAX,5320,615.78,946.0,11/10/2003,7/27/2002,330.22,Buy,Yotz
117,TLLP,3744,134.0,693.52,10/20/2021,8/18/2014,559.52,Sell,Ooba
118,TRMR,2286,127.75,73.04,1/4/2005,8/28/2010,-54.71,Sell,Agivu
119,PEI^C,1463,205.88,919.98,3/8/2001,5/29/2005,714.1,Buy,Dabvine
120,BEN,6799,994.62,175.65,11/15/2014,1/14/2019,-818.97,Sell,Youspan
121,TRTN,8263,866.92,365.32,4/9/2012,2/17/2008,-501.6,Sell,Wikibox
122,HYT,191,659.07,28.87,8/28/2008,5/10/2017,-630.2,Sell,Kazu
123,SNDX,857,720.86,382.94,10/15/2016,1/24/2016,-337.92,Buy,Rhycero
124,APEI,555,37.06,269.05,5/26/2000,6/10/2010,231.99,Sell,Yambee
125,CUDA,3757,346.72,146.85,6/23/2022,9/13/2017,-199.87,Sell,Trudeo
126,WFC^Q,8415,241.13,396.23,11/16/2009,2/15/2016,155.1,Buy,Skidoo
127,ENPH,2903,741.59,159.81,4/4/2006,4/22/2018,-581.78,Sell,Mydo
128,CSLT,4983,660.79,553.43,10/6/2013,10/8/2009,-107.36,Buy,Abatz
129,FMY,8581,297.51,624.6,3/14/2000,7/3/2016,327.09,Buy,Demizz
130,CBL^D,249,12.05,379.55,2/4/2006,10/12/2010,367.5,Buy,Skilith
131,OPGN,9106,141.16,474.34,7/3/2013,10/25/2012,333.18,Buy,Blogtag
132,AL,2418,801.28,721.45,6/27/2009,2/4/2005,-79.83,Buy,Skidoo
133,WUBA,2642,431.02,690.23,4/10/2004,6/20/2019,259.21,Buy,Jaxnation
134,NM,4589,66.51,255.05,12/10/2019,4/7/2004,188.54,Sell,Jaxbean
135,EC,5398,548.97,364.24,1/3/2022,10/2/2008,-184.73,Sell,Twitterwire
136,STFC,159,686.31,507.22,10/26/2013,9/10/2013,-179.09,Buy,Aivee
137,GDV^D,9424,553.01,161.9,5/5/2009,1/13/2017,-391.11,Sell,Zoombox
138,FDTS,361,537.3,417.78,2/22/2000,7/14/2001,-119.52,Buy,Wikibox
139,BCO,6287,651.2,84.33,5/8/2015,5/26/2000,-566.87,Buy,Yombu
140,ZIOP,7384,188.13,308.96,11/12/2005,10/23/2008,120.83,Buy,Npath
141,RHT,8807,782.56,288.33,3/11/2004,7/1/2005,-494.23,Buy,Feednation
142,SFBS,6421,744.85,349.86,4/25/2020,9/14/2007,-394.99,Sell,Devcast
143,CPF,3429,525.84,304.65,6/16/2002,11/12/2021,-221.19,Sell,Tagopia
144,DTJ,3033,353.51,244.75,2/24/2009,10/16/2014,-108.76,Sell,Pixonyx
145,SLG,3191,89.14,738.93,2/16/2017,7/12/2002,649.79,Buy,Eire
146,NVFY,8823,547.61,854.95,2/26/2019,11/27/2004,307.34,Sell,Jabberbean
147,GAM^B,3507,632.48,820.9,9/13/2004,8/16/2015,188.42,Sell,Skilith
148,OLED,8503,576.65,52.81,11/14/2018,12/26/2015,-523.84,Buy,Skynoodle
149,PBCTP,9868,939.6,932.58,7/21/2020,2/25/2019,-7.02,Buy,Skinix
150,IVR^A,2111,638.21,808.19,1/1/2022,6/22/2022,169.98,Sell,Kamba
151,SSBI,6984,913.56,392.44,9/17/2011,6/2/2017,-521.12,Buy,Zoonoodle
152,RCII,185,674.21,56.69,8/12/2022,1/3/2019,-617.52,Sell,Leenti
153,FBZ,3340,417.93,441.8,6/19/2014,6/6/2019,23.87,Sell,Zooxo
154,VAC,317,108.2,701.14,7/25/2017,2/7/2000,592.94,Buy,Meemm
155,HPJ,8996,269.28,554.67,2/11/2014,1/28/2020,285.39,Sell,Youtags
156,BIT,1404,878.2,689.94,6/17/2008,6/28/2015,-188.26,Sell,Zoomcast
157,NR,5202,310.54,96.27,4/9/2008,5/9/2004,-214.27,Buy,Eire
158,SANW,8066,238.5,707.02,4/5/2015,6/10/2016,468.52,Sell,Gabspot
159,RMTI,697,286.76,574.74,8/15/2018,12/26/2020,287.98,Sell,Gabspot
160,AAAP,1727,355.35,791.98,12/22/2017,10/24/2009,436.63,Sell,Izio
161,BBY,7808,660.87,6.67,3/24/2011,11/18/2000,-654.2,Buy,Meejo
162,APLE,1480,612.52,646.11,8/29/2006,11/22/2016,33.59,Buy,Centizu
163,BXMX,4618,262.57,202.84,3/31/2013,6/14/2008,-59.73,Sell,Mybuzz
164,NIE,1307,735.4,225.52,3/12/2008,12/26/2016,-509.88,Buy,Meezzy
165,RTNB,6340,12.6,194.73,2/27/2003,3/5/2016,182.13,Sell,Photofeed
166,FEX,4987,803.11,872.17,7/27/2002,6/28/2017,69.06,Buy,InnoZ
167,MDU,5080,704.12,360.51,11/27/2012,2/15/2000,-343.61,Sell,Meembee
168,LECO,515,93.44,585.9,3/14/2006,9/8/2002,492.46,Buy,Dabtype
169,AGRX,5404,319.47,95.57,12/22/2009,4/13/2005,-223.9,Sell,Photobug
170,KODK,7346,710.72,906.73,12/2/2011,9/15/2019,196.01,Sell,Shuffletag
171,KB,9199,5.41,529.1,2/25/2006,3/5/2002,523.69,Sell,Skinix
172,ALX,2744,496.57,549.02,11/3/2014,8/7/2012,52.45,Buy,Youspan
173,LMB,1137,229.48,792.98,9/4/2021,10/14/2004,563.5,Sell,Kimia
174,TSM,8214,340.14,322.3,11/29/2010,7/11/2017,-17.84,Buy,Riffpedia
175,SGMA,9209,739.4,0.53,2/18/2012,9/20/2020,-738.87,Sell,Pixoboo
176,SMLP,5004,106.0,28.98,6/13/2012,11/15/2005,-77.02,Sell,Tazzy
177,CRS,1626,350.75,338.7,10/3/2002,3/26/2009,-12.05,Buy,Teklist
178,BDC^B,4291,838.51,628.16,8/10/2005,1/1/2003,-210.35,Sell,Lazz
179,COGT,7556,390.07,200.15,3/4/2004,12/9/2000,-189.92,Buy,Ainyx
